client_id	path	sentence	up_votes	down_votes	age	gender	accent
e6dbbe39377aa0fe2851852b2c695c9c31094c80c9ccd244bac8dfdc8a523b2a114362d4c717bd9d628499fe1d3c11971221be5ec4dadce15c9ff8c5254ae368	common_voice_en_19859808.mp3	Another, by the same artist, is on loan to the National Portrait Gallery.	2	0	sixties	female	
7746e1ef1f3de6c5ea2db98d1e2c584f607ed233a025cf8addd1079e4b5b0d668b07fb4902d22ee1f734ef368940d4315f9faaa69602a67324485dc5b6fa25c8	common_voice_en_18889697.mp3	The tool is not widely used.	2	0	teens	male	us
da81656e96c597bb845e1b8f3dfc492fe9da4817b79b3aac472ad3655c3cc2dc636da35cd0ec40dfa0d658b00dcec0645a38b31487c7f3e23c4453940d2c388f	common_voice_en_18283868.mp3	The engine will be sent via palletized delivery.	2	1	twenties	female	wales
6934ea90f68dd79d019e2960360dbbf4b7a82acd27c8d6501839402a4db19a60fe1f105bca4c2fcde170b0ce44091fd29c41f656035954b9a936d81b3cfeb254	common_voice_en_19547546.mp3	To decode the message, the reverse method is applied.	2	0	thirties	male	newzealand
0f5525dfa033975d9a0427e06fa795ba34744aa1ab10d4f44be264d22f4b6ec3faea2b5a0c460c9df14b1e6b4e19844176d382385525b3a4bef254bb00b6fb9b	common_voice_en_20160520.mp3	"The album is actually built around the ""And Then So Clear"" song."	2	0	twenties	male	us
1801b4730821d1f722ddf5483e6df7c87289c67276101743a157d19e7fcb232f5615824392906cd5e0e4627ed23a1a10a19425e63981c4cce9428f4352402e8e	common_voice_en_19823826.mp3	This disorder is especially seen in patients with chronic kidney failure.	2	0			
bd09ba3f63c85cf2e0b53eb66e9796991b064808429c6d269c645daa5c4ec8cc7f78f2478bb652ddc38a7584363771823a431cbd4c9f13f8dff524a98bc51281	common_voice_en_19739687.mp3	Stagecoach in South Shields is the eventual successor to South Shields Corporation Transport.	2	0	twenties	male	us
c5555508305e73ddc13d170bda34f0731fbd0fb4d06a5399d9f6cc62a9dc98aa9d4be82a3a838af186e18f96799d86e87c78a6248a5db2aceb48f86764d4c2e7	common_voice_en_19320314.mp3	Tasmania Police had the first purpose-built Police Academy in Australia.	2	0			
318d218dba42c9bc7981365c144d14b8862db840457f08a4c176294bdff435e6a442e715115836be84b25a29cf62cd317aedef4557d6eddd3bafb50e6b9a2d2d	common_voice_en_18698315.mp3	"The ""Ley de Aguinaldo"" law gave an extra yearly salary to all workers."	2	0	thirties	male	us
f8f76b94170a19421464ac1a3b62a926edae4cb12a0a39c93e1d901682e617a1bfd98290e239f07c670bca0d654f2582e1deae7517dc98b9b8e7a7b326874d25	common_voice_en_18738406.mp3	As The Flashbulb, Jordan typically releases electronic or cinematic styled music.	2	1	twenties	female	indian
ab72e9ab22713aec03a3189202a0713e56016ea07569b3041fcd65d77c9eb3f8c692f7ccaec75c16bbc62476d528f434d829193994cf07fcde9e3b1e4a2fa93a	common_voice_en_18767230.mp3	Green sand is an aggregate of sand, bentonite clay, pulverized coal and water.	2	0	sixties	male	us
9821c3f88e10a1d52de891585e3d18c338ceae0c8d8b3632883807118a07aa33cbd5de442e13d526d4d6653f8e809043d3ac4926f9d88efe5ee56f3e58388716	common_voice_en_19247876.mp3	No legal action could be taken to stop or punish them.	2	0			
94e0029173b383f6bb8e6e5e8dfef3626d3d9d994a196e8e7bbdb0f34af77e25895e9b7c513b8a5f34db29084fb00838670bdf2e7735d34c53ed30363e8d7a17	common_voice_en_20160266.mp3	The Restoration Trust also holds several fundraising concerts.	2	0	twenties	male	us
7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	common_voice_en_19804549.mp3	The book has also incorporated specimens of Bodo folktales, rhymes and grammars.	2	0	teens	other	australia
d264b8eefe92bb82f666c0525079693388bd16a5bfb39a4963022fd040719499102c7a8d659f6b26f719c302d6d6963eab89f33e81c8b44f1f09682a1a42a6b7	common_voice_en_19991409.mp3	Tours are available free of charge and are offered in both English and Spanish.	2	0			
d3d679d4bda8c7e95cef70234462cce69567af960fae0bd37324de7792f0328ee49b1ba14180ad75717446df42a17467ea5502f556746d768ed0144d0f3050f1	common_voice_en_19640130.mp3	“We are too young,” she said at length.	2	0			
2184ee1973b37b0c2ebf08981e48d5e0b7864c09d933a3096ddc78e2520bbf21ca263440e4098594d1d78913c2a2562faad41b05ad31ee3e7d770de50926d9f8	common_voice_en_19092645.mp3	This inflames their already-existing rivalry, which causes trouble for their co-operation in the air.	2	0	fifties	male	australia
4f8d0e93662db1f2dc28f40ebf38eaec0aefe9f22b69de909ffa0eb14cf372c0939016f572fde6783336e9ca3bf380af33a92102fe15d69ba9e7a59f3d4d502f	common_voice_en_19713675.mp3	At one time, Goltry was home to two German Mennonite churches.	2	0			
910b54d167b21285110267af1f2d61d7ac3a9db9b49fa7b0efa8a4bbd6c856812d7b10d35db439d962c507a0e4fdf95b11becb6c574499c40f8ce76034304ea1	common_voice_en_19102301.mp3	Later classifications, however, divide the family in a finer way.	2	0	twenties	male	england
711b65d1707025b9a2aa8563ef87229efe5859a439b1c3a177f3f5388c79e9e5964cef9754dc6495c609963e956dae1b5bc0bd35c991590fdae6fc40f0947f4d	common_voice_en_19692059.mp3	My mother is full-blooded Greek, there's the connection.	2	0			
a8ff5736c22a4cdd7fde01b9f8b0c58f6705812df6a16318bf782786ae33c2174f164eb0f215137d3f9d2230f822f78d58963962b9b825acc8906464f865a3c2	common_voice_en_20091436.mp3	Some four or five later succumbed to their wounds.	2	1	thirties	male	
a5dab0d3bceaf1888497fb463bba305a41d50490664f889838030c337dec28c6d7c27e6aa1726436b9b5de464121e1b5146c2bbbfe6a380fa80ae0aab40a7db1	common_voice_en_19524983.mp3	It was during this siege that he died, after falling from his horse.	2	0			
b419faab633f2099c6405ff157b4d9fb5675219570f2683a4d08cbadeac4431e9d9b30dfa9b04f79aad9d8e3f75fda964809f3aa72ae9d0a4a025c59417f3dd1	common_voice_en_20130976.mp3	Born in Vancouver, he spent most of this childhood in Dublin, Ireland.	2	0	thirties	male	us
3d3770e5ea85628c58de5bc7d18ab73ae9727ddcb2843dcaf7c57997da292d54ad344e399d39cfa67d6c34a44b82b69c2f352636fe5e2e7cd0dfbb4153b55f29	common_voice_en_20043677.mp3	His father worked there as a tailor.	2	0			
aa308a6660bba7cbeccf02b5d203d0bb01e43d9526e64699e7a05d7fa61950840ee499dbd298f88c874ea183fad157665a2091e3b298ae06bf95a8de9b96618e	common_voice_en_19172817.mp3	If still equal, the goal difference and then goals scored become the deciding factors.	2	0	fifties	male	us
6e0914bc027bdf4c95e29ef8fafc1c0e97606d86b597a08347da961fc7da53268f8b26b998c1f182a852876b7583ebdf7a6347533de728d47a1692ecf63e4d5b	common_voice_en_19689106.mp3	Dominicans, Augustinians and other houses soon followed.	2	1	twenties	male	
c1eccc85c3d52e5db2c10f030b24d87bda23a7c3e498c985b09462b2bc6dd814b34f9050b92f5d31fac1ae5827a98088c3f07145b10ff44a9ced6d14623ba7e9	common_voice_en_19260747.mp3	These were not the first buildings in the area.	2	0	fourties	female	ireland
e790d1a6d652b49b74172d96fca249c1d46c38806613534de93e324492059b41bb491639158ff5b5efe117d167447b1dca743bff0b32dcfe07b12a43fb13a86e	common_voice_en_19675768.mp3	A few critics expressed some disappointment.	2	0	twenties	male	us
7963691c43c8cc498c58f117527522bf772c76c38530570bc55ef04834f67fb7a9227bd0fa1f13e64e8de1cde6594f3501e172ab86559697c08726cac26f4c6f	common_voice_en_19081513.mp3	Hence, ambulocetids represent the transition phase of cetacean ancestors between freshwater and marine habitat.	2	1	teens	other	australia
